,RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,label
5423,CA00-0000015957,2004,7,Alameda,Berkeley,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,4.0
5424,CA00-0000015955,2004,9,Alameda,Berkeley,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
5425,CA00-0000015956,2004,9,Alameda,Berkeley,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-American Indian/Alaska Native,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,4.0
5426,CA00-0000016185,2004,9,Alameda,Berkeley,1,1,Unknown,0,Intimidation,Violent Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,None,Threatening letters/flyers/email,4.0
5427,CA00-0000016380,2004,12,Alameda,Berkeley,1,1,White,1,Intimidation,Violent Crimes,Drug Store/Dr Office/Hospital,Anti-Gay (Male),Sexual Orientation,Person,None,Annoying telephone calls/fax,4.0
5428,CA00-0000014949,2004,1,Alameda,Fremont,1,1,White,1,Intimidation,Violent Crimes,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5429,CA00-0000015069,2004,2,Alameda,Fremont,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,4.0
5430,CA00-0000015153,2004,3,Alameda,Fremont,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,4.0
5431,CA00-0000015973,2004,9,Alameda,Fremont,1,1,East Indian/Asian Indian,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,None,Verbal slurs,4.0
5432,CA00-0000014982,2004,1,Alameda,Newark,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
5433,CA00-0000014983,2004,1,Alameda,Newark,1,1,Hispanic,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5434,CA00-0000015499,2004,5,Alameda,Newark,2,2,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,4.0
5435,CA00-0000015568,2004,6,Alameda,Oakland,1,1,Black or African American,4,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5436,CA00-0000016404,2004,10,Alameda,Oakland,1,1,Black or African American,4,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5437,CA00-0000016407,2004,12,Alameda,Oakland,1,0,White,1,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Religion,Religion,Religious,Knife or other cutting or stabbing instrument,Disturbing public assembly/meeting,4.0
5438,CA00-0000015245,2004,4,Alameda,Pleasanton,1,1,White,1,Intimidation,Violent Crimes,Service/Gas Station,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5439,CA00-0000015819,2004,9,Alameda,Pleasanton,3,3,White,2,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,4.0
5440,CA00-0000016287,2004,12,Alameda,Pleasanton,1,1,Unknown,0,Intimidation,Violent Crimes,Restaurant,Anti-Arab,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,4.0
5441,CA00-0000016316,2004,7,Alameda,San Leandro,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,4.0
5442,CA00-0000016318,2004,8,Alameda,San Leandro,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
5443,CA00-0000016315,2004,11,Alameda,San Leandro,1,1,Hispanic,2,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,4.0
5444,CA00-0000015529,2004,6,Alameda,East Bay Reg. Park Dist. - Alameda,1,1,Black or African American,4,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5445,CA00-0000015583,2004,6,Alameda,CSU East Bay,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,4.0
5446,CA00-0000016405,2004,12,Alameda,Dublin,1,1,White,2,Intimidation,Violent Crimes,Hotel/Motel/etc.,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,4.0
5447,CA00-0000015858,2004,9,Alameda,UC Berkeley,7,7,White,3,Simple Assault,Violent Crimes,School/college,Anti-Islamic (Muslim),Religion,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,4.0
5448,CA00-0000016252,2004,11,Alameda,UC Berkeley,1,1,Asian/Pacific Islander,1,Intimidation,Violent Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,None,Threatening letters/flyers/email,4.0
5449,CA00-0000015534,2004,6,Amador,Amador Co. Sheriff's Department,2,2,Unknown,0,Intimidation,Violent Crimes,Convenience Store,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,2.0
5450,CA00-0000016249,2004,11,Butte,Butte Co. Sheriff's Department,1,1,White,2,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other gun (pellet, BB, stun gun, etc.)",Verbal slurs,4.0
5451,CA00-0000015202,2004,1,Butte,Chico,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,4.0
5452,CA00-0000015741,2004,7,Butte,Chico,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Verbal slurs,4.0
5453,CA00-0000015083,2004,2,Butte,CSU Chico,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,4.0
5454,CA00-0000015168,2004,2,Butte,CSU Chico,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
5455,CA00-0000015172,2004,3,Butte,CSU Chico,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,4.0
5456,CA00-0000016186,2004,10,Butte,CSU Chico,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5457,CA00-0000014977,2004,1,Contra Costa,Contra Costa Co. Sheriff's Department,2,2,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,4.0
5458,CA00-0000015548,2004,4,Contra Costa,Antioch,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,4.0
5459,CA00-0000015940,2004,6,Contra Costa,Antioch,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
5460,CA00-0000016002,2004,7,Contra Costa,Antioch,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,None,Annoying telephone calls/fax,4.0
5461,CA00-0000015512,2004,5,Contra Costa,Brentwood,1,1,White,2,Intimidation,Violent Crimes,School/college,Anti-Jewish,Religion,Person,None,Verbal slurs,4.0
5462,CA00-0000015967,2004,8,Contra Costa,Brentwood,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,4.0
5463,CA00-0000015265,2004,4,Contra Costa,Concord,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,4.0
5464,CA00-0000015760,2004,7,Contra Costa,Concord,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5465,CA00-0000016305,2004,11,Contra Costa,Concord,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,None,Annoying telephone calls/fax,4.0
5466,CA00-0000015811,2004,8,Contra Costa,Pittsburg,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5467,CA00-0000015151,2004,3,Contra Costa,Pleasant Hill,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,4.0
5468,CA00-0000016014,2004,10,Contra Costa,Pleasant Hill,2,2,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
5469,CA00-0000015792,2004,8,Contra Costa,Richmond,2,2,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5470,CA00-0000015961,2004,9,Contra Costa,Richmond,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,4.0
5471,CA00-0000016371,2004,12,Contra Costa,Richmond,1,1,Unknown,0,Intimidation,Violent Crimes,Government/Public Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,4.0
5472,CA00-0000016079,2004,9,Contra Costa,Walnut Creek,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Specialty Store (TV/Fur/etc.),Anti-Jewish,Religion,Business,None,Daubing of swastika,4.0
5473,CA00-0000016297,2004,11,Contra Costa,Walnut Creek,1,1,White,1,Simple Assault,Violent Crimes,Service/Gas Station,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5474,CA00-0000015417,2004,3,Contra Costa,Martinez,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,4.0
5475,CA00-0000015480,2004,5,Contra Costa,Martinez,3,3,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,4.0
5476,CA00-0000015966,2004,9,Contra Costa,Martinez,1,1,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5477,CA00-0000016012,2004,10,Contra Costa,Martinez,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,4.0
5478,CA00-0000016013,2004,10,Contra Costa,Martinez,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5479,CA00-0000015725,2004,7,Contra Costa,Lafayette,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5480,CA00-0000015362,2004,5,Contra Costa,East Bay Reg. Park Dist. - Contra Costa,2,2,Asian/Pacific Islander,2,Intimidation,Violent Crimes,Lake/Waterway/Beach,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5481,CA00-0000015243,2004,4,El Dorado,Placerville,1,0,White,2,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.0
5482,CA00-0000015244,2004,4,El Dorado,Placerville,2,2,White,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
5483,CA00-0000015058,2004,2,Fresno,Fresno Co. Sheriff's Department,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Specialty Store (TV/Fur/etc.),Anti-White,Race/Ethnicity/Ancestry,Business,None,Graffiti,4.0
5484,CA00-0000014952,2004,1,Fresno,Fresno,1,1,Group of Multiple Races,2,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,None,Daubing of swastika,4.0
5485,CA00-0000014953,2004,1,Fresno,Fresno,1,1,White,1,Simple Assault,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5486,CA00-0000015088,2004,2,Fresno,Fresno,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,None,Daubing of swastika,4.0
5487,CA00-0000015089,2004,2,Fresno,Fresno,1,1,White,3,Simple Assault,Violent Crimes,Convenience Store,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5488,CA00-0000016468,2004,2,Fresno,Fresno,1,1,Hispanic,1,Simple Assault,Violent Crimes,Other/Unknown,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5489,CA00-0000015178,2004,3,Fresno,Fresno,1,1,Asian/Pacific Islander,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5490,CA00-0000015179,2004,3,Fresno,Fresno,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,4.0
5491,CA00-0000015180,2004,3,Fresno,Fresno,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Religious,None,Graffiti,4.0
5492,CA00-0000015181,2004,3,Fresno,Fresno,1,1,Hispanic,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,4.0
5493,CA00-0000015296,2004,4,Fresno,Fresno,1,1,White,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,4.0
5494,CA00-0000015297,2004,4,Fresno,Fresno,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Other,4.0
5495,CA00-0000015493,2004,5,Fresno,Fresno,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Business,None,Graffiti,4.0
5496,CA00-0000015494,2004,5,Fresno,Fresno,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5497,CA00-0000015510,2004,5,Fresno,Fresno,1,1,Hispanic,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,4.0
5498,CA00-0000015511,2004,5,Fresno,Fresno,1,1,Hispanic,3,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5499,CA00-0000015550,2004,6,Fresno,Fresno,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,None,Damage to vehicle,4.0
5500,CA00-0000015606,2004,7,Fresno,Fresno,3,3,Black or African American,2,Simple Assault,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Arab,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,4.0
5501,CA00-0000015607,2004,7,Fresno,Fresno,1,1,Hispanic,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5502,CA00-0000015608,2004,7,Fresno,Fresno,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Verbal slurs,4.0
5503,CA00-0000015610,2004,7,Fresno,Fresno,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Handgun,Verbal slurs,4.0
5504,CA00-0000015772,2004,9,Fresno,Fresno,1,1,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,4.0
5505,CA00-0000015773,2004,9,Fresno,Fresno,2,2,Black or African American,3,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian,Sexual Orientation,Person,"Other ( bottle, rocks, spitting)",Other,4.0
5506,CA00-0000015945,2004,10,Fresno,Fresno,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,4.0
5507,CA00-0000015946,2004,10,Fresno,Fresno,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Other,4.0
5508,CA00-0000015947,2004,10,Fresno,Fresno,1,1,Hispanic,3,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,4.0
5509,CA00-0000016179,2004,12,Fresno,Fresno,2,2,White,2,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Other,4.0
5510,CA00-0000016025,2004,10,Humboldt,CSU Humboldt,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Government,"Other ( bottle, rocks, spitting)",Disturbing public assembly/meeting,2.0
5511,CA00-0000014948,2004,1,Kern,Kern Co. Sheriff's Department,1,1,White,2,Intimidation,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5512,CA00-0000015138,2004,3,Kern,Kern Co. Sheriff's Department,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Annoying telephone calls/fax,4.0
5513,CA00-0000015139,2004,3,Kern,Kern Co. Sheriff's Department,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5514,CA00-0000015272,2004,4,Kern,Kern Co. Sheriff's Department,3,3,White,4,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5515,CA00-0000016019,2004,11,Kern,Kern Co. Sheriff's Department,1,1,White,1,Intimidation,Violent Crimes,Construction Site,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5516,CA00-0000016020,2004,11,Kern,Kern Co. Sheriff's Department,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Other,4.0
5517,CA00-0000015358,2004,5,Kern,Bakersfield,1,1,Black or African American,5,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5518,CA00-0000015573,2004,6,Kern,Bakersfield,2,2,White,2,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Handgun,Verbal slurs,4.0
5519,CA00-0000015574,2004,6,Kern,Bakersfield,2,2,White,1,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,4.0
5520,CA00-0000015553,2004,6,Kern,Ridgecrest,1,1,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other gun (pellet, BB, stun gun, etc.)",Verbal slurs,4.0
5521,CA00-0000015554,2004,6,Kern,Ridgecrest,8,8,White,3,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,4.0
5522,CA00-0000015661,2004,6,Kern,Ridgecrest,1,1,White,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5523,CA00-0000016345,2004,12,Kern,Ridgecrest,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
5524,CA00-0000016088,2004,9,Lake,Lake Co. Sheriff's Department,2,2,American Indian or Alaska Native,2,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Other,2.0
5525,CA00-0000016356,2004,12,Lake,Lake Co. Sheriff's Department,2,2,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Verbal slurs,2.0
