MonthOccurrence,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,conviction-rate
9,1,1,Unknown,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
10,10,10,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,0.5149700598802395
12,2,2,White,1,Simple Assault,Violent Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Person,"Other ( bottle, rocks, spitting)",Disturbing public assembly/meeting,0.5149700598802395
11,1,1,East Indian/Asian Indian,1,Intimidation,Violent Crimes,Other/Unknown,Anti-Gay (Male),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.5149700598802395
3,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Service/Gas Station,Anti-Arab,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
6,1,0,White,1,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.5149700598802395
7,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Business,None,Daubing of swastika,0.5149700598802395
11,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Drug Store/Dr Office/Hospital,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Business,None,Graffiti,0.5149700598802395
5,1,1,Hispanic,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,None,Verbal slurs,0.5149700598802395
6,3,3,White,1,Intimidation,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
9,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.5149700598802395
7,2,2,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
12,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
5,1,1,Unknown,0,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
10,1,1,Black or African American,4,Simple Assault,Violent Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
2,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
7,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
12,1,1,Black or African American,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
3,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
6,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Field/Woods/Park,Anti-Jewish,Religion,Person,None,Damage to vehicle,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
8,5,5,Unknown,3,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
1,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
1,1,1,White,1,Intimidation,Violent Crimes,Other/Unknown,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.5149700598802395
2,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
5,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
2,1,1,White,1,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.5149700598802395
4,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,0.5149700598802395
5,5,5,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
5,1,1,White,1,Intimidation,Violent Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Person,None,Threatening letters/flyers/email,0.5149700598802395
7,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,None,Annoying telephone calls/fax,0.5149700598802395
11,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Rock throwing,0.5149700598802395
2,1,1,Black or African American,3,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
3,1,1,Black or African American,1,Simple Assault,Violent Crimes,Service/Gas Station,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
4,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Protestant,Religion,Religious,None,Graffiti,0.5149700598802395
5,1,1,Black or African American,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
6,1,1,Black or African American,1,Intimidation,Violent Crimes,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
6,1,1,Black or African American,2,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
9,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
10,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
10,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Graffiti,0.5149700598802395
11,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
11,4,4,Black or African American,1,Simple Assault,Violent Crimes,Field/Woods/Park,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,0.5149700598802395
11,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Rock throwing,0.5149700598802395
12,1,1,Black or African American,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,None,Verbal slurs,0.5149700598802395
12,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Other,0.5149700598802395
12,1,1,Unknown,0,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Verbal slurs,0.5149700598802395
1,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
8,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.5149700598802395
9,1,1,White,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,0.5149700598802395
11,1,1,Unknown,0,Intimidation,Violent Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Person,None,Annoying telephone calls/fax,0.5149700598802395
12,2,2,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
12,1,1,Hispanic,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
12,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
3,1,1,Asian/Pacific Islander,1,Intimidation,Violent Crimes,Air/Bus/Train Terminal,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
4,1,1,Hispanic,4,Intimidation,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,0.5149700598802395
4,1,1,Hispanic,2,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Verbal slurs,0.5149700598802395
4,1,1,Black or African American,2,Robbery,Violent Crimes,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation,Person,Handgun,Verbal slurs,0.5149700598802395
4,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,None,Graffiti,0.5149700598802395
