County,population,Race/Ethnicity: Asian,Race/Ethnicity: AAPI,Race/Ethnicity: Black,Race/Ethnicity: Hispanic,Race/Ethnicity: Multi-Racial/Ethnic,Race/Ethnicity: Hawaiian/ Pacific Island,Race/Ethnicity: White,Labor Force: Unemployment Rate (2018),Poverty: Under 18 Percent (2017),Median Household Income (2017)
San Joaquin,"770,385","109,101","112,914","56,396","312,861","25,802","3,813","258,382",6.00%,21.60%,"$60,950.00 "
San Luis Obispo,"280,393","8,968",9343,"5,274","63,673","6,705",375,"194,567",2.90%,12.30%,"$70,634.00 "
San Mateo,"774,485","196,942","208,135","19,839","203,789","27,692","11,193","319,125",2.20%,7.00%,"$115,908.00 "
Santa Barbara,"454,593","21,742",22542,"7,921","209,855","10,078",800,"204,179",3.90%,17.40%,"$70,651.00 "
Santa Clara,"1,954,286","648,474","655,489","46,867","540,956","63,110","7,015","665,572",2.60%,8.10%,"$118,468.00 "
Santa Cruz,"274,871","11,682",12009,"2,514","96,384","7,594",327,"157,484",4.90%,13.70%,"$76,633.00 "
Shasta,"178,773","4,902",5167,"1,682","16,890","6,402",265,"144,336",4.90%,22.90%,"$51,207.00 "
Sierra,"3,213",14,17,6,284,66,3,"2,727",6.00%,20.20%,"$49,495.00 "
Siskiyou,"44,584",597,676,553,"5,271","1,949",79,"34,062",6.70%,25.70%,"$44,013.00 "
Solano,"441,307","63,117","66,687","62,402","115,395","23,716","3,570","174,311",3.90%,14.00%,"$75,931.00 "
Sonoma,"500,675","19,552","21,114","7,745","134,378","13,658","1,562","323,894",2.70%,10.90%,"$79,511.00 "
Stanislaus,"558,972","27,862","31,219","14,680","251,935","14,981","3,357","245,339",6.40%,18.60%,"$58,925.00 "
Sutter,"97,490","14,702",14995,"1,858","30,919","3,288",293,"47,518",7.50%,18.20%,"$54,102.00 "
Tehama,"64,387",671,737,375,"15,913","1,811",66,"44,665",5.70%,29.00%,"$41,819.00 "
Trinity,"13,688",108,124,52,"1,093",574,16,"11,011",5.70%,32.10%,"$40,676.00 "
Tulare,"479,112","15,316",15748,"5,892","304,967","6,567",432,"145,138",9.60%,31.90%,"$46,377.00 "
Tuolumne,"54,590",598,662,990,"6,084","1,452",64,"42,762",4.60%,17.50%,"$58,776.00 "
Ventura,"856,598","57,414","58,836","13,618","368,909","19,576","1,422","395,900",3.80%,13.20%,"$82,436.00 "
Yolo,"222,581","30,834","31,914","5,457","70,582","7,983","1,080","107,362",4.20%,14.10%,"$64,900.00 "
Yuba,"77,916","5,487",5766,"2,328","20,783","3,647",279,"44,427",6.40%,21.90%,"$53,822.00 "
